Geneid	MB231-Combo-1.sorted.bam	MB231-Combo-2.sorted.bam	MB231-Combo-3.sorted.bam	MB231-DMSO-1.sorted.bam	MB231-DMSO-2.sorted.bam	MB231-DMSO-3.sorted.bam	MB231-MG132-1.sorted.bam	MB231-MG132-2.sorted.bam	MB231-MG132-3.sorted.bam	MB231-SHP-1.sorted.bam	MB231-SHP-2.sorted.bam	MB231-SHP-3.sorted.bam
MYC	4304	4627	4854	3381	3218	3350	3483	3231	3755	3360	3020	3056
CASC11	1	0	2	0	1	0	1	5	2	0	2	1
LOC105375754	0	1	0	1	0	0	1	1	2	6	1	0
POU5F1B	0	0	0	0	0	0	0	0	0	2	0	0
CCAT2	0	0	0	1	0	0	0	0	0	0	0	0
CASC8	50	72	49	91	81	82	75	98	68	84	65	90
CASC21	1	0	0	0	0	0	0	0	0	0	0	0
CCAT1	1	0	0	1	4	4	0	0	3	1	2	2
CASC19	0	0	0	1	0	0	0	1	3	0	0	0
LOC105375752	0	0	1	0	0	1	1	0	0	0	0	0
SRRM1P1	0	0	0	0	0	0	0	0	0	0	0	0
PRNCR1	38	40	34	32	37	19	32	40	35	21	8	26
PCAT2	1	0	0	0	0	0	0	0	0	0	0	0
PCAT1	0	0	1	0	0	0	0	0	0	3	0	0
LOC105375753	0	0	1	0	0	0	1	0	0	0	1	1
RNU11-4P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375751	1	8	5	5	6	0	5	2	3	2	2	2
LRATD2	535	588	643	801	676	754	815	813	821	868	750	755
LOC105375750	0	2	0	0	0	0	0	0	0	0	0	0
RNU6-869P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375749	0	0	1	0	0	0	0	1	0	0	0	0
LOC101927657	0	0	0	1	0	2	2	1	2	1	0	0
RFPL4AP5	0	0	0	0	0	0	0	0	0	0	0	0
KNOP1P5	0	0	0	0	0	0	0	0	0	0	0	0
LINC00861	4	5	3	14	9	4	1	0	9	7	0	0
RNU6-442P	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986974	0	1	0	0	0	0	0	0	0	0	0	0
LOC105375748	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375747	0	0	1	0	0	0	0	0	0	0	0	0
LOC105375746	2	0	0	0	1	0	0	0	0	0	0	0
TRIB1	338	407	457	298	332	260	339	309	316	305	274	293
RN7SL329P	0	1	1	0	0	1	1	2	0	0	0	0
NSMCE2	215	158	206	174	173	139	167	149	181	178	124	166
WASHC5-AS1	0	0	0	0	0	0	0	0	0	2	2	0
WASHC5	565	656	705	797	788	746	814	835	889	862	819	920
SQLE	773	869	1004	883	840	843	1020	869	964	1008	873	904
SQLE-DT	0	0	0	0	0	0	0	0	0	0	0	0
ZNF572	2	5	5	4	4	2	4	11	14	6	4	9
LINC00964	0	0	0	0	0	0	0	0	1	0	0	1
LOC105375742	0	0	0	0	0	0	0	0	0	0	0	0
MRS2P1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375743	1	1	1	3	5	0	1	0	2	2	1	7
MIR4662A	0	0	0	0	0	0	0	0	0	0	0	0
MIR4662B	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375741	0	0	1	0	0	0	0	1	2	0	0	1
LOC105375740	4	5	4	4	0	1	2	4	2	1	0	0
MTSS1	35	52	43	54	57	59	67	63	88	83	81	79
NDUFB9	691	770	830	705	675	660	689	683	724	678	683	654
MIR6844	0	0	0	0	0	0	0	0	0	0	0	0
TATDN1	555	589	599	510	461	508	542	459	437	517	380	417
RNF139	403	448	441	541	457	540	535	448	564	618	576	610
RNF139-AS1	11	2	8	9	4	8	12	13	2	6	13	4
TRMT12	50	58	60	111	107	86	102	87	92	111	84	102
TMEM65	486	666	611	809	813	802	897	780	838	923	840	971
LOC112268031	2	3	1	1	0	2	1	0	2	0	2	6
RNU6-756P	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986973	16	12	8	20	10	9	5	6	7	4	4	8
LOC101927588	0	0	0	0	0	0	0	2	0	0	0	0
ARF1P3	0	0	1	0	0	0	0	0	0	0	0	0
LOC392268	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6-AS2	0	0	0	0	0	0	0	0	0	0	0	1
FER1L6-AS1	0	0	0	0	0	0	0	0	0	0	0	0
FER1L6	0	0	1	0	0	0	1	1	0	0	1	0
FAM91A1	6625	7346	7628	6404	5756	5931	6498	6146	6555	6625	5842	6200
LOC105375739	0	0	0	0	0	0	0	0	0	0	0	0
ANXA13	0	0	1	0	0	0	0	0	0	0	0	0
LOC105375738	2	0	4	0	0	0	0	0	0	2	0	0
KLHL38	1	0	3	1	2	0	0	4	1	2	3	2
RN7SKP155	0	0	0	0	0	0	0	0	0	0	0	0
FBXO32	324	356	364	352	400	366	387	377	411	501	470	463
NTAQ1	361	400	412	595	565	593	609	581	574	665	520	582
LOC105375737	0	1	2	5	5	8	9	6	6	5	2	7
IMPDH1P6	0	2	1	0	1	1	4	4	0	2	0	0
DUTP2	0	0	0	0	0	0	1	0	3	0	2	0
MIR548D1	0	0	0	0	0	0	0	0	0	0	0	0
MIR548AA1	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-875P	0	0	0	0	0	0	0	4	2	3	3	4
ATAD2	5801	6357	7034	9977	9348	9213	10096	9746	10265	10503	8940	9591
LOC392266	0	0	0	0	0	0	0	0	0	1	1	0
RNU6-628P	0	0	1	0	0	0	0	1	0	0	0	0
TRF-GAA12-1	0	0	0	0	0	0	2	0	0	0	0	0
ZHX1	1293	1396	1532	2494	2237	2272	2561	2370	2612	2698	2398	2465
UBA52P5	2	2	3	0	0	0	0	0	3	0	1	0
ZHX1-C8orf76	16	25	14	13	8	5	9	5	21	11	10	17
C8orf76	93	100	130	148	106	121	97	132	140	121	95	107
MIR4663	0	0	0	0	0	0	0	0	0	0	0	0
FAM83A-AS1	7	7	6	4	5	14	11	5	2	0	14	5
FAM83A	271	298	293	383	343	353	429	383	382	395	402	447
TRM-CAT1-1	0	0	0	0	0	0	0	0	0	0	0	0
HMGB1P19	0	0	0	0	0	0	0	1	1	0	0	0
RNY4P5	0	0	0	0	1	0	1	0	1	0	0	0
TBC1D31	398	401	465	855	729	718	898	776	876	807	819	767
DERL1	4470	4871	5410	4162	3587	3732	4174	4081	4219	4129	3965	3924
ZHX2	95	82	71	135	115	121	123	109	165	126	121	124
CDK5P1	0	0	1	0	0	0	0	0	0	0	0	0
LOC107986904	0	0	1	1	0	3	0	0	1	0	0	0
LINC01151	1	3	1	2	0	3	1	0	0	0	0	1
LOC107986972	0	0	5	0	0	0	0	0	0	0	0	0
SMILR	1	1	2	0	1	0	0	0	1	1	0	0
LOC105375733	0	0	0	0	0	1	0	0	2	0	0	0
MRPS36P3	0	0	0	0	0	0	0	0	0	8	0	0
LINC02855	0	0	0	0	0	0	1	0	0	0	1	0
HAS2-AS1	4	15	14	33	33	26	26	20	28	19	20	27
HAS2	77	113	107	153	150	173	229	169	151	159	158	186
RPL35AP19	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986971	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375731	4	4	6	6	1	2	1	4	1	2	2	2
LOC100133147	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986874	4	6	6	2	3	5	2	2	3	9	1	1
LOC101927543	0	3	0	1	1	1	0	0	1	0	0	1
NCAPGP1	1	0	1	0	1	1	1	0	0	0	0	0
SNTB1	119	125	128	221	189	175	236	209	189	212	239	192
MTBP	535	523	591	711	662	686	678	699	756	859	771	730
MRPL13	1744	1790	2019	2074	1928	1859	2020	1953	1892	1951	1737	1979
COL14A1	21	60	55	5	2	2	10	1	59	1	10	15
LOC105375730	0	0	0	0	0	0	0	0	0	0	0	0
RNA5SP277	0	0	0	0	0	0	0	0	0	0	0	0
DEPTOR	2	7	6	14	8	8	21	9	11	3	20	15
RN7SL396P	0	0	0	1	0	0	0	0	0	0	0	0
DSCC1	354	422	458	1237	957	1041	1056	1015	1018	1205	1015	1105
LOC105375728	3	2	6	3	12	14	2	13	6	9	3	3
TAF2	1696	1807	2044	1844	1684	1671	1977	1831	1918	1871	1600	1833
RN7SKP153	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375727	0	0	0	0	0	0	0	0	0	0	0	0
CYCSP23	0	0	0	1	0	0	0	0	0	0	0	0
ENPP2	10	13	10	9	5	7	7	4	8	11	3	5
LOC392264	0	0	0	0	0	0	0	0	0	0	0	0
CCN3	73	115	127	156	147	131	163	124	168	205	170	179
MIR548AZ	0	0	0	0	0	0	0	0	0	0	0	0
MAL2-AS1	2	0	0	0	0	0	0	0	0	0	0	3
MAL2	599	698	727	884	861	858	911	886	912	1003	854	924
LOC105375725	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927513	0	0	0	0	0	0	0	0	0	0	0	0
LOC100286746	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-12P	0	0	0	0	0	0	0	0	0	0	0	0
COLEC10	0	0	0	1	0	0	0	1	0	0	2	0
TNFRSF11B	33	32	37	90	87	84	91	106	80	103	69	104
LOC105375723	1	0	0	0	0	0	0	0	0	0	0	0
RPS26P35	0	0	0	0	0	0	0	0	0	0	0	0
SAMD12-AS1	4	4	2	0	3	1	0	0	2	0	2	0
LOC105375724	1	2	0	2	1	3	1	4	3	0	0	0
SAMD12	60	72	104	114	117	130	149	143	147	151	153	117
SNORD168	0	0	0	3	1	0	0	0	0	0	4	5
EXT1	7787	8420	9492	9246	8621	8459	9943	8748	9350	10890	10206	9944
LOC107986970	3	1	0	5	6	2	0	2	2	1	0	0
LOC105375721	7	4	12	10	3	10	11	12	5	7	6	7
RPS10P16	0	1	2	1	1	0	0	0	0	0	2	0
MED30	369	428	412	431	446	436	483	461	470	456	497	423
LOC105375717	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL826P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375719	0	0	1	0	0	0	0	0	0	1	0	0
LOC107986969	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375716	0	0	0	0	0	0	1	0	0	0	1	0
RN7SL228P	0	0	0	0	0	0	0	0	0	0	0	0
SLC30A8	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375715	0	0	0	0	0	0	0	0	0	0	1	0
AARD	2	8	7	6	9	8	10	3	3	5	12	8
MIR3610	0	0	0	0	0	0	0	0	0	0	0	0
RAD21-AS1	1	2	2	0	0	1	2	6	7	6	3	4
RAD21	8282	8941	10101	11758	10743	10901	11541	10988	12012	13227	11592	11949
LOC112268030	6	2	3	2	5	6	3	0	1	1	4	2
UTP23	832	949	1041	976	917	981	990	1082	1070	970	946	887
LOC105375713	1	3	2	0	3	1	0	6	6	2	6	1
EIF3H	6219	6686	7464	6656	6004	5917	6604	6324	6564	6686	6263	6382
LOC105375712	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375711	0	0	0	0	0	0	1	1	0	0	0	0
LOC102723447	0	1	0	2	1	0	1	1	1	0	0	0
RNA5SP276	0	0	0	0	0	0	0	0	0	0	0	0
LINC00536	0	3	2	0	0	0	4	0	0	0	0	4
LOC107986903	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986902	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986968	0	0	0	0	0	0	0	0	0	0	0	0
TRPS1	69	69	78	112	121	106	133	118	130	167	152	167
LOC107986901	0	0	0	0	0	0	0	0	0	0	0	0
CARS1P2	0	0	0	0	0	0	0	0	0	0	0	0
LOC100420746	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375710	0	0	0	0	1	0	0	0	0	0	0	0
LOC105375709	0	0	0	0	0	0	0	0	0	0	0	0
RPL18P7	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986966	0	0	0	0	0	0	0	0	0	0	0	0
MIR2053	0	0	0	0	0	0	0	0	0	0	0	0
RPL30P16	0	0	0	0	0	0	0	0	0	0	0	0
CSMD3	2	1	2	2	0	2	4	1	1	1	5	3
RNU4-37P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375707	0	0	0	0	0	1	0	0	0	0	0	0
H2AZP7	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA15P	0	0	0	0	0	0	0	0	0	0	0	0
LINC02237	0	0	0	1	0	0	0	0	0	0	0	0
EEF1A1P37	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986964	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375705	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986965	0	0	0	0	0	0	0	0	0	0	0	0
LINC01609	0	0	0	0	0	0	0	0	0	0	0	0
LINC01608	0	0	0	0	0	0	0	0	1	0	0	0
MTND2P35	0	0	0	0	0	0	0	0	0	0	0	0
MTCO1P47	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB9P3	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132280	0	0	0	0	0	0	0	0	0	0	0	0
RPSAP48	0	0	0	0	0	0	0	0	0	0	0	0
KCNV1	0	0	0	0	0	0	0	0	0	0	0	0
RPL18P6	0	0	1	0	0	0	0	0	0	0	0	0
LOC644335	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132813	1	0	0	4	2	1	3	3	0	0	0	0
SYBU	52	85	68	52	60	69	74	55	90	77	66	50
EBAG9	257	293	324	744	621	669	661	666	765	728	659	699
MAPK6P5	1	1	0	1	2	0	0	0	0	0	2	0
LOC100420748	0	0	0	0	0	0	0	0	0	0	0	0
PKHD1L1	1	0	0	1	2	2	2	1	1	2	1	0
ENY2	4181	4403	4244	5090	5036	4507	4494	4808	4833	4425	4061	4193
NUDCD1	5041	5398	5996	6595	5544	5947	6447	6033	6330	6181	5280	5377
TRHR	3	0	0	0	0	1	3	1	3	2	0	2
LOC107984017	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927413	3	1	2	5	10	3	4	9	5	4	12	10
LOC102723368	0	0	0	0	0	1	0	0	0	0	0	0
TMEM74	10	2	5	8	4	14	13	7	10	10	7	11
LOC101060000	0	0	0	0	0	0	0	0	0	0	0	0
EMC2	1542	1753	1806	1989	1784	1654	1862	1796	1905	1868	1634	1761
RPS17P14	0	3	0	0	0	0	0	0	1	0	0	0
LOC105375704	0	0	0	0	0	1	1	0	0	0	0	1
EIF3E	19678	21428	22451	18679	16985	16783	17672	17122	18982	18711	16185	17301
AURKBP1	0	0	0	0	0	0	0	0	0	5	0	0
NRBF2P4	0	0	0	0	0	0	0	0	0	0	0	0
RSPO2	1	1	0	0	1	0	0	0	2	0	0	0
RNA5SP275	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375703	0	0	0	0	0	0	0	0	0	0	0	0
PGAM1P13	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT1	79	100	86	161	133	138	162	201	152	219	217	202
HMGB1P46	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375701	0	0	0	0	0	0	0	0	0	0	0	0
ABRA	2	0	0	0	1	0	0	0	0	0	0	0
RNU7-84P	0	0	0	0	0	1	0	0	0	0	0	0
TAGLN2P1	21	24	30	43	47	32	16	47	55	37	33	32
OXR1-AS1	4	2	6	8	7	6	3	1	2	7	2	10
OXR1	1613	1692	1873	1754	1542	1618	1840	1672	1710	2070	1733	1668
SLC16A14P1	0	0	0	0	0	0	0	0	0	0	0	0
ZFPM2-AS1	295	294	376	201	225	203	248	259	261	278	231	265
RPL12P24	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375696	0	0	3	0	0	0	0	0	3	0	0	0
ZFPM2	56	82	90	66	80	70	61	77	73	88	78	71
RPL17P32	0	0	0	0	0	0	0	0	0	0	0	0
TMCC1P1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101927392	0	0	0	0	0	0	0	1	0	0	0	0
LOC105375695	0	0	0	0	0	0	0	0	0	0	0	0
RPL29P18	1	0	0	0	0	0	0	0	0	0	0	0
RPL23P9	1	0	0	0	0	0	0	0	0	0	0	0
LOC105375693	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375694	0	0	0	0	0	0	0	0	0	0	0	0
NDUFA5P2	0	2	0	0	1	1	0	0	2	0	0	0
LRP12	2090	2307	2408	2261	2019	2053	2344	2200	2258	2404	2122	2269
MIR548A3	0	0	0	0	0	1	0	0	0	0	0	0
LOC105375691	1	0	1	0	0	0	0	0	0	0	0	0
LOC105375692	0	0	0	0	0	0	0	0	0	0	0	0
DPYS	1	0	1	0	1	2	0	0	0	0	0	0
DCSTAMP	0	1	2	0	1	0	1	0	0	0	0	0
LOC107986899	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375688	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984007	0	0	0	0	1	0	0	0	1	0	1	1
LOC105375689	0	0	1	0	0	0	0	0	0	0	0	0
RPS6P9	0	0	0	0	0	0	0	0	0	0	0	0
TARBP2P1	0	0	0	0	0	0	0	0	0	0	0	0
LOC101101841	0	0	0	0	0	0	0	0	0	0	0	0
PTMAP15	0	0	0	0	0	0	0	0	0	0	0	0
RIMS2	14	23	29	52	74	59	53	70	69	51	58	44
LOC105375690	0	1	2	0	0	0	0	2	2	2	0	0
DCAF13	2921	3023	3295	3007	2694	2731	2869	2817	3206	3017	2642	2658
SLC25A32	2337	2554	2922	2941	2553	2666	2704	2593	2741	2915	2402	2465
RNU6-1011P	5	1	0	0	0	1	0	1	2	0	1	0
CTHRC1	10	21	19	22	10	13	22	14	24	23	25	14
SNORD173	3	0	1	0	0	2	0	0	0	0	0	0
FZD6	2337	2535	2715	3412	3113	2942	3223	2940	3210	3422	2994	3145
LOC105369147	25	24	30	22	19	29	41	32	29	30	14	25
BAALC-AS1	0	0	0	0	2	2	1	0	1	2	4	7
MIR3151	0	0	0	0	0	0	0	0	0	0	0	0
BAALC	4	6	5	3	0	6	2	0	6	1	4	7
BAALC-AS2	0	1	0	0	0	0	0	0	0	0	0	0
LINC01181	0	0	0	0	0	0	0	0	1	0	1	0
MTCO2P4	0	0	0	0	0	0	0	0	0	0	0	0
MTCO1P4	0	0	0	0	0	0	0	0	0	0	0	0
MTND2P10	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P5	0	0	0	0	0	0	0	0	0	0	0	0
ATP6V1C1	3619	3898	4160	3067	2901	2723	3321	3190	3253	3626	2965	3168
NPM1P52	0	0	0	0	0	0	0	0	0	0	0	0
RPL5P24	0	0	1	0	1	0	0	0	1	0	0	1
MAILR	13	16	31	31	15	14	14	28	21	36	33	16
AZIN1	9434	10281	11163	8824	7839	8242	8628	8559	8784	9020	8319	8161
GASAL1	46	53	49	107	113	99	113	100	105	108	89	88
ADI1P2	0	0	0	0	0	1	0	0	0	0	0	0
LOC105375685	3	0	0	0	0	0	0	0	0	0	0	0
LOC105375686	0	0	0	1	3	0	0	0	0	0	1	0
LOC101927245	3	4	3	1	5	10	7	9	7	8	2	10
KLF10	1100	1197	1403	2027	1873	2038	2123	2104	2196	1933	1846	2177
POU5F1P2	0	0	0	0	0	0	0	0	0	0	0	0
ODF1	0	0	0	0	0	0	0	0	0	1	0	0
LOC105375684	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-1224P	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986898	0	0	0	0	0	0	0	0	0	0	0	0
RPS12P15	0	0	0	0	0	0	0	0	0	0	0	0
HSPE1P14	0	0	0	0	0	0	0	0	1	0	0	0
RNU6ATAC8P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375683	0	0	0	3	1	1	0	0	0	4	0	0
UBR5	2402	2282	2612	2897	2704	2710	3297	2938	3246	3503	3353	2926
SUMO2P19	1	0	1	0	0	0	0	0	0	1	0	2
UBR5-DT	5	0	1	3	1	6	4	9	3	3	2	14
RRM2B	1023	1031	1119	1712	1576	1624	1873	1768	1886	1976	1631	1861
LOC112268018	0	0	0	0	0	0	0	0	0	0	0	0
MIR5680	0	0	0	0	0	0	0	0	0	0	0	0
LOC104054148	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986963	1	0	1	0	0	0	0	0	1	0	1	0
PDCL3P2	0	0	0	1	0	0	0	0	0	0	0	0
NCALD	1	1	0	0	1	1	4	3	2	5	0	0
LOC107986960	0	0	0	0	0	0	0	0	0	0	0	0
LOC100131593	0	0	0	0	0	0	0	0	0	0	0	0
GRHL2	0	0	2	2	1	3	0	2	2	0	2	0
GRHL2-DT	0	0	0	0	0	0	1	0	2	0	1	0
LOC107986961	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL563P	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986897	0	0	0	0	2	2	0	0	0	0	0	1
LINC02845	0	0	0	0	0	0	0	0	0	0	0	0
NACA4P	3	3	1	0	3	0	6	4	3	4	1	5
DUXAP2	1	0	0	1	0	0	0	0	1	3	4	2
RNU7-67P	0	0	0	0	0	0	0	0	0	0	0	0
LINC02844	0	0	0	0	0	0	0	0	0	0	0	0
LOC100419977	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984005	2	0	2	0	2	0	0	0	0	0	0	4
ZNF706	1826	1901	1850	2798	2526	2659	2737	2705	2921	2700	2633	2701
ZNNT1	15	20	14	38	22	28	23	23	36	21	32	43
LOC105375676	0	0	0	0	0	0	0	0	0	4	0	0
RN7SKP249	0	1	1	0	0	0	0	0	0	0	0	0
LOC105375675	0	0	0	0	0	1	2	1	0	0	2	0
LOC105375674	13	14	9	9	8	4	7	7	11	8	2	3
FLJ42969	3	2	9	6	7	8	1	8	5	5	2	3
LOC401471	0	0	0	0	0	0	0	0	0	0	0	0
RN7SL685P	0	0	0	0	0	0	0	0	0	0	0	0
YWHAZ	45090	50053	53756	69989	63969	63168	69677	65342	70703	73436	65587	67673
RPS26P6	248	249	233	330	343	301	360	345	344	313	365	358
RNU4-83P	0	0	0	0	0	0	0	0	0	0	0	0
RPS20P23	0	0	0	1	0	0	1	0	2	0	0	0
RNU6ATAC41P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375673	0	0	1	0	0	2	0	1	0	2	0	0
MIR7705	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1	25074	27420	30246	33704	30150	31503	34211	32072	34407	33805	32965	31929
RNU6-1092P	0	0	0	0	0	1	0	0	0	0	0	0
LOC105375672	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375671	0	0	0	0	0	0	0	0	0	0	0	0
SNX31	0	0	0	0	0	0	1	2	0	0	0	1
GAPDHP62	23	26	30	47	27	16	29	25	40	29	24	25
ANKRD46	235	219	304	376	342	322	388	330	415	409	320	378
LOC107986959	0	0	1	0	2	0	0	0	1	1	1	2
LOC105375670	0	0	0	0	0	0	0	2	0	0	0	0
MIR4471	0	0	0	0	0	0	0	0	0	0	0	0
RNF19A	1231	1262	1385	1521	1328	1382	1455	1288	1429	1477	1360	1394
LOC105375668	0	1	0	4	4	4	2	1	1	0	3	0
LOC105375669	1	9	3	5	9	3	3	0	9	4	8	6
UFM1P3	0	0	1	1	0	0	0	0	1	0	3	0
SPAG1	764	846	955	1197	1228	1164	1394	1308	1293	1434	1068	1308
POLR2K	1527	1767	1793	2525	2257	2000	2273	2225	2363	2109	2000	2269
FBXO43	15	18	19	48	67	52	50	59	65	73	55	62
SNORD77B	0	0	0	0	0	0	0	0	0	0	0	0
RGS22	3	8	9	1	0	0	3	0	5	2	0	3
COX6C	1667	1758	1673	1630	1614	1691	1593	1717	1684	1498	1313	1596
LETM1P3	1	0	0	0	0	0	0	0	0	0	0	0
RN7SL350P	0	0	0	0	0	0	0	0	0	0	0	0
MIR875	0	0	0	0	0	0	0	0	0	0	0	0
MIR599	0	0	0	0	0	0	0	0	0	0	0	0
LOC100420057	1	0	0	2	1	2	0	1	1	1	1	1
LOC100499192	0	0	0	1	0	1	0	0	0	0	1	0
LOC100421893	0	0	1	2	2	1	0	0	0	2	1	0
VPS13B	841	935	1025	1001	901	1020	1073	1080	1106	1122	1158	1116
LOC107986871	8	2	2	6	15	13	2	5	14	14	4	5
VPS13B-DT	5	10	9	22	24	10	16	20	19	14	6	17
LOC107986872	0	0	0	0	0	0	0	1	1	0	0	0
OSR2	42	38	36	66	82	64	60	69	80	73	80	77
LOC112268016	4	5	4	1	4	11	10	3	9	11	13	5
RN7SKP85	0	0	0	0	1	0	2	0	0	0	0	0
MRPL57P7	0	0	0	0	1	0	0	0	0	0	0	0
LOC643494	0	0	0	0	0	0	0	0	0	0	0	0
RPL19P14	1	1	0	0	0	0	0	0	0	0	0	0
LOC101928296	0	2	0	0	2	2	2	0	2	0	2	4
RNU6-748P	0	0	0	0	0	0	0	0	0	0	0	0
STK3	1309	1384	1489	1543	1345	1310	1496	1307	1536	1435	1359	1369
KCNS2	1	4	0	2	0	1	1	3	0	0	0	0
LOC100131849	0	0	0	0	0	0	0	0	0	0	0	0
MIR9903	0	0	0	0	0	0	0	0	1	0	0	0
LOC107986870	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375659	0	0	0	1	0	0	0	0	0	0	0	1
RNU6-914P	0	0	0	0	0	0	0	0	0	0	0	0
NIPAL2	287	307	263	454	445	392	461	403	408	375	365	371
LOC105375660	0	0	0	0	0	0	0	0	0	0	0	0
TRUND-NNN2-1	0	0	0	0	0	0	0	0	0	0	0	0
POP1	1396	1480	1569	982	942	899	1051	1011	1044	1026	917	916
RIDA	248	275	304	407	434	399	435	462	482	476	453	416
ERICH5	0	1	0	0	0	0	0	0	1	0	0	1
RNU6-703P	0	2	0	0	0	0	2	0	1	0	0	0
SNORA72	7	1	7	3	7	3	5	7	5	10	8	7
RPL30	13772	14342	13679	14665	14363	13905	13489	13571	14881	13140	11497	13324
MATN2	1739	1921	2052	2435	2307	2264	2707	2534	2616	2706	2530	2534
RPS23P1	0	0	0	0	0	0	0	0	0	0	0	0
SUMO2P18	0	0	0	0	0	0	0	0	0	0	0	0
LOC100127982	0	0	0	0	0	1	2	3	0	3	0	1
LAPTM4B	4680	4982	5141	5666	5308	5100	5547	5452	5576	5687	5256	5201
MTDH	11660	12738	13731	12142	11273	11424	12449	11185	12886	12825	11753	12484
RPS2P33	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375657	0	0	0	0	0	0	0	0	0	0	0	0
SNORD3H	0	0	0	0	0	0	0	0	0	0	0	0
TSPYL5	276	311	324	384	384	380	438	339	421	472	444	422
LOC105375655	2	0	0	0	0	0	0	0	0	0	0	1
LOC101927066	0	0	0	1	0	0	0	0	0	0	0	0
CPQ	98	139	153	163	136	116	118	127	151	166	161	155
SDC2	672	830	912	1148	1015	1033	1092	1042	1153	1288	1037	1131
RNU6-1172P	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375653	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724804	0	0	0	0	0	0	0	0	0	0	0	0
LOC105375652	0	1	1	1	0	3	1	0	0	0	0	0
PTDSS1	3274	3398	3963	5354	4656	4946	5383	5107	5495	5041	5042	4888
MTERF3	359	362	366	721	630	663	685	706	708	742	640	674
UQCRB-AS1	0	0	1	0	0	0	1	0	2	0	2	0
UQCRB	3421	3416	3459	4321	4024	3701	4031	3855	4194	3960	3221	3713
GDF6	0	2	1	0	0	0	0	0	2	0	0	0
TUBBP7	0	0	0	0	0	0	0	0	0	0	0	0
GAPDHP30	0	0	0	0	0	0	0	0	0	0	0	0
SRSF3P2	0	0	0	0	0	0	0	0	0	0	0	2
LOC107986957	0	0	0	0	0	0	0	0	0	0	0	0
RNU6-690P	0	1	0	0	0	0	0	0	0	0	0	0
TRS-AGA2-5	0	0	0	0	0	0	0	1	0	0	2	0
CFAP418-AS1	11	22	10	14	33	19	9	21	37	20	17	20
CFAP418	36	45	37	56	47	62	67	49	67	82	78	76
LINC01298	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHF2	997	931	1110	1025	878	850	1100	939	1043	1021	860	930
MIR3150A	0	0	0	0	0	0	0	0	0	0	0	0
